,Noun,Count
745,tray,83
746,security,477
747,guard,76
748,poster,61
749,catch,308
750,plain,132
751,ordinary,84
752,switch,162
753,luxury,651
754,aid,19
755,spray,228
756,notice,325
757,conference,311
758,cereal,283
759,fruit,1141
760,coupon,43
761,appetizer,80
762,university,63
763,tower,712
764,review,967
765,executive,480
766,reward,23
767,rule,54
768,smoking,408
769,news,122
770,concern,128
771,infant,22
772,daughter,678
773,health,93
774,smell,699
775,cigarette,126
776,smoke,338
777,ashtray,23
778,clothes,344
779,baby,205
780,addition,274
781,tag,41
782,garbage,111
783,compensation,57
784,outside,2207
785,son,577
786,shampoo,186
787,soap,219
788,red,457
789,mask,24
790,nightlight,4
791,clip,7
792,weed,26
793,expectation,56
794,den,23
795,graduation,13
796,school,188
797,proximity,198
798,bite,113
799,closet,438
800,toilet,707
801,cap,44
802,letter,104
803,glove,6
804,inspection,21
805,policy,121
806,classic,113
807,upper,154
808,science,26
809,fee,327
810,term,35
811,apartment,278
812,conditioner,203
813,ceiling,356
814,temperature,278
815,amusement,6
816,period,144
817,bacon,270
818,supermarket,184
819,arena,43
820,effort,220
821,operation,32
822,practice,54
823,point,864
824,microwave,249
825,stove,41
826,iron,235
827,board,306
828,guy,544
829,bargain,295
830,thinking,258
831,insulation,27
832,studio,93
833,local,1231
834,feeling,403
835,dump,125
836,medium,51
837,gather,26
838,crowd,209
839,accommodation,184
840,junior,315
841,fixture,16
842,real,1148
843,firm,192
844,mother,171
845,grace,56
846,fall,153
847,patience,52
848,daily,822
849,wash,161
850,dryer,160
851,definition,11
852,edge,140
853,neighbourhood,87
854,preference,47
855,snack,290
856,basket,99
857,sense,206
858,sofa,297
859,restriction,1
860,meet,426
861,min,585
862,colleague,42
863,reach,215
864,architecture,108
865,basics,60
866,camera,151
867,organizing,14
868,messy,17
869,variable,13
870,general,480
871,intention,27
872,selection,865
873,recommendation,193
874,schedule,128
875,age,265
876,opera,205
877,challenge,61
878,shape,146
879,transportation,347
880,carry,192
881,entertainment,1086
882,brand,240
883,history,143
884,land,103
885,arrangement,46
886,ottoman,24
887,cocktail,201
888,winner,48
889,pop,132
890,dime,28
891,truth,57
892,form,161
893,privacy,232
894,ring,87
895,cycle,12
896,invitation,12
897,victory,6
898,host,86
899,surface,38
900,beginning,247
901,leading,105
902,mall,412
903,scent,29
904,court,150
905,season,240
906,rent,250
907,peninsula,91
908,independent,36
909,skill,7
910,fifth,87
911,traveler,216
912,brilliant,383
913,bob,31
914,pastry,65
915,accident,36
916,paint,148
917,coat,41
918,bathtub,192
919,furnace,5
920,subject,37
921,hoof,6
922,final,162
923,faucet,22
924,agent,384
925,pass,365
926,winter,141
927,energy,78
928,initial,88
929,jerk,5
930,pillow,254
931,towel,534
932,summer,302
933,hell,107
934,heat,320
935,wave,60
936,pier,112
937,jogging,22
938,pearl,40
939,ship,137
940,refrigerator,233
941,drink,1714
942,buy,717
943,arm,59
944,transit,67
945,agreement,25
946,wind,162
947,reunion,27
948,flavor,64
949,cast,17
950,era,19
951,breeze,286
952,situation,299
953,stretch,77
954,polish,19
955,cake,212
956,cream,223
957,attraction,60
958,bother,582
959,hometown,3
960,suit,165
961,duration,52
962,offering,186
963,fight,73
964,pipe,23
965,nod,11
966,telephone,98
967,normal,302
968,running,430
969,section,342
970,surround,25
971,theater,108
972,metro,1407
973,norm,77
974,delivery,73
975,tax,190
976,lock,183
977,picture,233
978,decline,8
979,punishment,6
980,pole,10
981,underpants,2
982,network,45
983,claw,4
984,search,89
985,basis,148
986,transport,356
987,fix,242
988,overheard,31
989,burning,29
990,appearance,57
991,mobility,27
992,prison,20
993,limo,74
994,yellow,101
995,porcelain,5
996,avenue,228
997,gauntlet,8
998,illegal,15
999,marketplace,49
1000,vibration,6
1001,ambience,127
1002,grip,6
1003,bike,105
1004,hop,200
1005,pun,10
1006,bathrobe,39
1007,fluke,8
1008,stall,71
1009,minor,386
1010,counter,212
1011,struggle,41
1012,pot,120
1013,field,50
1014,repeat,94
1015,father,48
1016,e-mail,138
1017,itinerary,25
1018,wing,171
1019,painting,64
1020,cause,145
1021,pack,186
1022,departure,246
1023,attendant,106
1024,speaking,418
1025,assignment,8
1026,opportunity,176
1027,construction,557
1028,vacuum,17
1029,thief,9
1030,understanding,82
1031,potential,88
1032,mile,181
1033,bureau,17
1034,speed,201
1035,adult,176
1036,dresser,60
1037,someplace,34
1038,improvement,102
1039,draw,67
1040,hunting,7
1041,bank,176
1042,tooth,20
1043,highway,67
1044,silver,97
1045,status,71
1046,joke,177
1047,radiator,20
1048,wink,5
1049,renaissance,98
1050,mini,760
1051,understatement,22
1052,decade,8
1053,dirt,73
1054,produce,26
1055,hide,45
1056,goodness,73
1057,dare,16
1058,doorway,9
1059,handicap,19
1060,legal,14
1061,requirement,20
1062,entry,119
1063,billing,31
1064,bid,22
1065,win,50
1066,function,56
1067,lion,27
1068,crocodile,2
1069,waste,240
1070,cocoa,28
1071,sea,476
1072,clipper,6
1073,report,132
1074,risk,60
1075,category,79
1076,mood,80
1077,transfer,174
1078,modem,6
1079,seminar,9
1080,disaster,68
1081,container,29
1082,storm,153
1083,beverage,93
1084,temp,50
1085,eating,655
1086,steak,561
1087,tender,36
1088,instant,41
1089,climb,83
1090,release,11
1091,lie,85
1092,suggestion,96
1093,summary,104
1094,hearing,83
1095,story,188
1096,officer,15
1097,assault,3
1098,arrest,2
1099,contract,15
1100,sort,362
1101,reverse,9
1102,portion,63
1103,action,222
1104,abuse,6
1105,elbow,12
1106,drinking,274
1107,ground,382
1108,series,42
1109,director,22
1110,source,32
1111,favorite,572
1112,meeting,246
1113,refreshments,29
1114,treat,400
1115,sky,90
1116,menu,686
1117,saving,91
1118,jewel,44
1119,grease,18
1120,stain,33
1121,thrill,6
1122,display,62
1123,digit,3
1124,motion,26
1125,child,203
1126,businessman,9
1127,detective,2
1128,vehicle,53
1129,zero,103
1130,prize,15
1131,convenience,242
1132,exterior,70
1133,ease,71
1134,cup,222
1135,difference,344
1136,equivalent,36
1137,pricing,53
1138,baggage,109
1139,rush,123
1140,nightmare,146
1141,appeal,38
1142,core,18
1143,jockey,1
1144,alternative,141
1145,round,358
1146,factory,77
1147,self,143
1148,temporary,29
1149,process,176
1150,suburb,11
1151,nobody,164
1152,heater,48
1153,nickel,21
1154,celsius,9
1155,completion,6
1156,mandarin,131
1157,mint,18
1158,noon,186
1159,laptop,187
1160,string,14
1161,church,126
1162,gentleman,120
1163,seat,185
1164,railing,3
1165,limit,44
1166,savings,23
1167,grill,509
1168,resistance,12
1169,brown,94
1170,caramel,3
1171,hesitation,168
1172,black,271
1173,aircraft,18
1174,error,34
1175,leisure,75
1176,boyfriend,532
1177,hurt,60
1178,cough,14
1179,grey,57
1180,sun,872
1181,cabinet,44
1182,tourism,56
1183,rack,79
1184,retailer,1
1185,planet,35
1186,soda,142
1187,porch,20
1188,driveway,21
1189,sidewalk,41
1190,apron,1
1191,swing,37
1192,blind,33
1193,sculpture,12
1194,ticket,223
1195,harbor,157
1196,apology,98
1197,taste,384
1198,mouth,42
1199,sum,98
1200,monitor,15
1201,observation,26
1202,umbrella,134
1203,sweater,8
1204,shoes,176
1205,plastic,173
1206,dish,114
1207,urn,1
1208,river,420
1209,perspective,59
1210,class,539
1211,doll,9
1212,killer,14
1213,aquarium,79
1214,laundry,215
1215,lemon,30
1216,kindness,35
1217,emergency,62
1218,streetcar,57
1219,airfare,22
1220,vomit,13
1221,airline,95
1222,native,58
1223,football,84
1224,goal,22
1225,criteria,29
1226,socks,36
1227,cotton,60
1228,movement,14
1229,visa,45
1230,discussion,38
1231,gossip,3
1232,vegetarian,53
1233,cuisine,120
1234,constant,160
1235,port,200
1236,concrete,77
1237,peak,114
1238,bartender,233
1239,liquor,199
1240,hostess,55
1241,outfit,12
1242,brownie,4
1243,title,26
1244,abdomen,1
1245,fragrance,10
1246,postage,14
1247,row,125
1248,dead,134
1249,dozen,61
1250,moment,433
1251,comment,333
1252,establishment,96
1253,theme,195
1254,hype,38
1255,dessert,159
1256,cheese,543
1257,apple,418
1258,butter,77
1259,link,46
1260,female,102
1261,exception,217
1262,favor,83
1263,oasis,160
1264,peace,146
1265,calm,195
1266,spite,42
1267,dressing,95
1268,wonder,164
1269,item,100
1270,praise,84
1271,registry,2
1272,turning,69
1273,spell,16
1274,freak,13
1275,drake,13
1276,feedback,60
1277,onion,41
1278,magazine,23
1279,behavior,30
1280,degree,74
1281,tear,39
1282,desktop,3
1283,estate,21
1284,uncertainty,3
1285,administration,11
1286,crew,124
1287,blow,60
1288,afterthought,3
1289,alcove,12
1290,burn,57
1291,model,19
1292,setting,300
1293,log,16
1294,ski,16
1295,continent,7
1296,railway,87
1297,bidding,7
1298,college,95
1299,hemp,1
1300,cargo,5
1301,repair,89
1302,ocean,1681
1303,partner,227
1304,slate,15
1305,furry,1
1306,footrest,2
1307,makeup,33
1308,lookout,7
1309,expense,66
1310,pit,18
1311,gas,59
1312,peer,6
1313,daylight,31
1314,scene,132
1315,giant,68
1316,loan,8
1317,adjustment,14
1318,listening,61
1319,dancing,285
1320,engineer,22
1321,blast,183
1322,explanation,47
1323,promise,49
1324,bear,69
1325,stool,15
1326,trouble,441
1327,jazz,175
1328,hunt,21
1329,certificate,18
1330,press,54
1331,dealing,81
1332,shame,163
1333,criticism,88
1334,lifetime,39
1335,question,162
1336,support,45
1337,highlight,156
1338,confusion,59
1339,layer,8
1340,dust,69
1341,jacket,31
1342,track,90
1343,cash,264
1344,trend,10
1345,scam,46
1346,thread,20
1347,pile,19
1348,crane,11
1349,neglect,8
1350,tobacco,20
1351,pan,69
1352,cent,41
1353,shore,139
1354,snow,37
1355,minimum,89
1356,annual,32
1357,goodie,3
1358,crib,62
1359,cow,38
1360,romance,33
